uuid,stkcd,date
463,2292,20250605
464,2292,20250606
465,2294,20250605
466,2301,20250605
467,2303,20250604
468,2304,20250603
469,2305,20250603
470,2305,20250604
471,2306,20250605
472,2309,20250603
473,2310,20250605
474,2318,20250604
475,2320,20250606
476,2321,20250605
477,2322,20250604
478,2324,20250604
479,2327,20250603
480,2329,20250606
481,2330,20250605
482,2331,20250606
483,2334,20250604
484,2337,20250604
485,2339,20250604
486,2339,20250605
487,2340,20250604
488,2343,20250604
489,2343,20250605
490,2345,20250605
491,2345,20250606
492,2346,20250604
493,2346,20250605
494,2347,20250605
495,2348,20250603
496,2348,20250605
497,2350,20250603
498,2352,20250603
499,2352,20250604
500,2353,20250604
501,2358,20250603
502,2360,20250603
503,2360,20250605
504,2360,20250606
505,2363,20250603
506,2364,20250604
507,2366,20250604
508,2370,20250605
509,2371,20250603
510,2373,20250603
511,2374,20250605
512,2375,20250604
513,2379,20250606
514,2386,20250605
515,2387,20250604
516,2390,20250606
517,2392,20250604
518,2398,20250604
519,2398,20250606
520,2403,20250604
521,2405,20250604
522,2407,20250604
523,2407,20250605
524,2408,20250604
525,2408,20250606
526,2410,20250604
527,2414,20250606
528,2415,20250604
529,2421,20250606
530,2422,20250605
531,2425,20250603
532,2425,20250604
533,2429,20250604
534,2431,20250604
535,2432,20250604
536,2432,20250605
537,2436,20250605
538,2437,20250604
539,2439,20250603
540,2441,20250603
541,2442,20250604
542,2442,20250606
543,2443,20250604
544,2444,20250604
545,2444,20250605
546,2445,20250604
547,2446,20250604
548,2448,20250604
549,2452,20250604
550,2453,20250605
551,2454,20250606
552,2457,20250604
553,2458,20250605
554,2460,20250604
555,2461,20250605
556,2465,20250603
557,2465,20250604
558,2466,20250604
559,2472,20250606
560,2475,20250603
561,2475,20250604
562,2478,20250604
563,2479,20250606
564,2480,20250603
565,2480,20250604
566,2481,20250603
567,2481,20250606
568,2484,20250604
569,2486,20250606
570,2488,20250603
571,2490,20250605
572,2495,20250604
573,2495,20250605
574,2498,20250606
575,2500,20250603
576,2500,20250606
577,2506,20250603
578,2508,20250605
579,2511,20250604
580,2514,20250603
581,2515,20250604
582,2524,20250604
583,2527,20250606
584,2531,20250606
585,2532,20250604
586,2534,20250606
587,2536,20250604
588,2536,20250606
589,2537,20250603
590,2538,20250606
591,2540,20250603
592,2540,20250606
593,2541,20250604
594,2542,20250603
595,2543,20250606
596,2545,20250604
597,2547,20250603
598,2550,20250603
599,2550,20250604
600,2557,20250603
601,2557,20250604
602,2566,20250606
603,2567,20250604
604,2567,20250605
605,2568,20250604
606,2569,20250604
607,2570,20250604
608,2576,20250604
609,2576,20250606
610,2577,20250604
611,2579,20250605
612,2579,20250606
613,2585,20250604
614,2585,20250606
615,2586,20250603
616,2586,20250605
617,2589,20250603
618,2589,20250604
619,2589,20250606
620,2590,20250605
621,2592,20250604
622,2594,20250603
623,2597,20250606
624,2600,20250604
625,2601,20250604
626,2602,20250603
627,2605,20250603
628,2605,20250606
629,2607,20250603
630,2609,20250604
631,2614,20250603
632,2615,20250603
633,2615,20250604
634,2616,20250604
635,2616,20250606
636,2617,20250604
637,2620,20250603
638,2623,20250603
639,2625,20250604
640,2626,20250604
641,2627,20250604
642,2627,20250606
643,2629,20250605
644,2630,20250603
645,2631,20250604
646,2633,20250604
647,2634,20250603
648,2636,20250605
649,2637,20250603
650,2637,20250604
651,2638,20250604
652,2639,20250603
653,2639,20250605
654,2643,20250604
655,2643,20250605
656,2647,20250604
657,2648,20250603
658,2649,20250603
659,2651,20250606
660,2653,20250603
661,2654,20250604
662,2655,20250604
663,2656,20250603
664,2657,20250604
665,2661,20250605
666,2669,20250604
667,2673,20250603
668,2673,20250605
669,2681,20250604
670,2683,20250603
671,2685,20250606
672,2686,20250605
673,2688,20250603
674,2690,20250605
675,2692,20250605
676,2693,20250604
677,2700,20250604
678,2702,20250605
679,2705,20250604
680,2706,20250604
681,2708,20250605
682,2713,20250604
683,2714,20250604
684,2714,20250606
685,2715,20250605
686,2716,20250603
687,2717,20250603
688,2717,20250606
689,2722,20250605
690,2722,20250606
691,2723,20250603
692,2723,20250604
693,2724,20250604
694,2725,20250604
695,2726,20250604
696,2727,20250603
697,2728,20250604
698,2731,20250604
699,2731,20250606
700,2733,20250604
701,2733,20250606
702,2734,20250603
703,2735,20250605
704,2736,20250603
705,2736,20250604
706,2736,20250606
707,2737,20250603
708,2739,20250606
709,2743,20250603
710,2746,20250605
711,2747,20250605
712,2749,20250605
713,2750,20250606
714,2753,20250606
715,2756,20250603
716,2758,20250604
717,2758,20250605
718,2761,20250603
719,2762,20250605
720,2766,20250605
721,2773,20250603
722,2773,20250604
723,2775,20250606
724,2777,20250606
725,2779,20250604
726,2782,20250606
727,2783,20250606
728,2787,20250603
729,2791,20250603
730,2798,20250604
731,2798,20250606
732,2799,20250604
733,2800,20250603
734,2803,20250605
735,2805,20250606
736,2806,20250605
737,2809,20250605
738,2810,20250604
739,2812,20250603
740,2820,20250606
741,2821,20250604
742,2821,20250606
743,2822,20250603
744,2822,20250605
745,2823,20250606
746,2825,20250604
747,2825,20250606
748,2826,20250603
749,2826,20250604
750,2826,20250605
751,2827,20250606
752,2828,20250603
753,2831,20250603
754,2831,20250605
755,2833,20250604
756,2835,20250603
757,2836,20250606
758,2840,20250603
759,2840,20250604
760,2840,20250606
761,2841,20250603
762,2841,20250604
763,2843,20250603
764,2845,20250605
765,2846,20250603
766,2848,20250604
767,2849,20250603
768,2850,20250605
769,2855,20250603
770,2855,20250606
771,2858,20250603
772,2858,20250604
773,2859,20250606
774,2860,20250603
775,2860,20250604
776,2861,20250604
777,2865,20250603
778,2865,20250604
779,2865,20250606
780,2866,20250606
781,2867,20250604
782,2868,20250603
783,2870,20250603
784,2870,20250604
785,2875,20250603
786,2875,20250605
787,2878,20250603
788,2881,20250604
789,2881,20250606
790,2884,20250604
791,2887,20250605
792,2892,20250605
793,2893,20250603
794,2895,20250603
795,2895,20250604
796,2895,20250605
797,2895,20250606
798,2897,20250606
799,2898,20250605
800,2899,20250605
801,2899,20250606
802,2900,20250604
803,2907,20250603
804,2909,20250604
805,2913,20250604
806,2915,20250603
807,2915,20250604
808,2919,20250604
809,2920,20250605
810,2922,20250605
811,2922,20250606
812,2925,20250604
813,2925,20250606
814,2926,20250605
815,2927,20250603
816,2929,20250605
817,2931,20250606
818,2932,20250603
819,2932,20250605
820,2932,20250606
821,2936,20250606
822,2937,20250604
823,2938,20250603
824,2938,20250604
825,2939,20250605
826,2940,20250604
827,2942,20250605
828,2942,20250606
829,2946,20250605
830,2947,20250605
831,2948,20250604
832,2949,20250604
833,2950,20250605
834,2951,20250604
835,2951,20250605
836,2953,20250606
837,2955,20250603
838,2955,20250605
839,2956,20250606
840,2957,20250603
841,2958,20250605
842,2963,20250604
843,2963,20250606
844,2968,20250604
845,2969,20250604
846,2969,20250606
847,2970,20250604
848,2971,20250603
849,2972,20250603
850,2972,20250605
851,2973,20250605
852,2973,20250606
853,2975,20250605
854,2976,20250604
855,2978,20250606
856,2979,20250604
857,2979,20250606
858,2983,20250605
859,2984,20250604
860,2986,20250604
861,2988,20250604
862,2990,20250603
863,2990,20250606
864,2991,20250605
865,2993,20250604
866,2996,20250603
867,2996,20250605
868,2998,20250604
869,2999,20250605
870,3002,20250604
871,3003,20250606
872,3005,20250604
873,3007,20250605
874,3009,20250604
875,3010,20250605
876,3011,20250604
877,3012,20250604
878,3012,20250606
879,3013,20250605
880,3015,20250603
881,3016,20250604
882,3018,20250606
883,3019,20250604
884,3020,20250606
885,3023,20250605
886,3025,20250603
887,3025,20250604
888,3025,20250606
889,3027,20250603
890,3029,20250605
891,3029,20250606
892,3030,20250604
893,3031,20250604
894,3031,20250605
895,3033,20250605
896,3033,20250606
897,3035,20250606
898,3036,20250604
899,3037,20250604
900,3038,20250603
901,3040,20250604
902,3041,20250603
903,3043,20250605
904,3043,20250606
905,200512,20250604
906,200550,20250604
907,200771,20250604
908,200992,20250606
909,300001,20250603
910,300003,20250603
911,300004,20250606
912,300014,20250606
913,300015,20250603
914,300015,20250604
915,300016,20250605
916,300018,20250605
917,300021,20250604
918,300021,20250606
919,300029,20250606
920,300032,20250605
921,300035,20250605
922,300040,20250605
923,300042,20250603
924,300045,20250606
925,300052,20250603
926,300052,20250604
927,300052,20250606
928,300063,20250603
929,300065,20250606
930,300078,20250603
931,300078,20250605
932,300079,20250603
933,300080,20250605
934,300083,20250604
935,300085,20250604
936,300088,20250605
937,300093,20250604
938,300095,20250604
939,300095,20250605
940,300096,20250603
941,300097,20250606
942,300100,20250606
943,300101,20250603
944,300102,20250604
945,300102,20250605
946,300102,20250606
947,300103,20250606
948,300105,20250604
949,300106,20250603
950,300110,20250603
951,300112,20250606
952,300115,20250604
953,300115,20250605
954,300118,20250604
955,300118,20250606
956,300121,20250603
957,300121,20250604
958,300121,20250605
959,300122,20250605
960,300124,20250606
961,300125,20250603
962,300125,20250604
963,300125,20250605
964,300127,20250603
965,300128,20250604
966,300129,20250606
967,300136,20250605
968,300136,20250606
969,300138,20250604
970,300146,20250603
971,300147,20250603
972,300148,20250606
973,300151,20250603
974,300151,20250604
975,300151,20250605
976,300151,20250606
977,300152,20250603
978,300158,20250603
979,300159,20250603
980,300159,20250606
981,300162,20250603
982,300163,20250603
983,300165,20250603
984,300169,20250603
985,300171,20250604
986,300174,20250604
987,300177,20250604
988,300181,20250604
989,300181,20250605
990,300183,20250603
991,300183,20250604
992,300184,20250603
993,300185,20250604
994,300188,20250603
995,300188,20250606
996,300189,20250605
997,300190,20250606
998,300192,20250606
999,300198,20250603
1000,300198,20250606
1001,300200,20250606
1002,300201,20250604
1003,300203,20250606
1004,300204,20250603
1005,300204,20250605
1006,300205,20250603
1007,300205,20250606
1008,300207,20250606
1009,300208,20250603
1010,300209,20250604
1011,300210,20250603
1012,300214,20250604
1013,300215,20250603
1014,300217,20250603
1015,300217,20250604
1016,300217,20250605
1017,300218,20250606
1018,300221,20250603
1019,300230,20250604
1020,300233,20250603
1021,300233,20250605
1022,300235,20250606
1023,300236,20250604
1024,300238,20250604
1025,300239,20250603
1026,300239,20250605
1027,300240,20250604
1028,300242,20250603
1029,300242,20250606
1030,300246,20250606
1031,300248,20250606
1032,300249,20250603
1033,300249,20250605
1034,300251,20250605
1035,300253,20250603
1036,300254,20250606
1037,300258,20250603
1038,300258,20250605
1039,300261,20250606
1040,300274,20250603
1041,300274,20250605
1042,300275,20250604
1043,300277,20250604
1044,300278,20250605
1045,300281,20250606
1046,300286,20250603
1047,300291,20250606
1048,300292,20250604
1049,300298,20250603
1050,300299,20250605
1051,300302,20250606
1052,300303,20250604
1053,300307,20250604
1054,300319,20250605
1055,300319,20250606
1056,300321,20250604
1057,300322,20250603
1058,300326,20250603
1059,300326,20250606
1060,300327,20250605
1061,300328,20250605
1062,300334,20250604
1063,300334,20250605
1064,300340,20250606
1065,300341,20250604
1066,300341,20250606
1067,300342,20250606
1068,300343,20250604
1069,300347,20250603
1070,300350,20250605
1071,300351,20250605
1072,300353,20250603
1073,300353,20250605
1074,300360,20250605
1075,300368,20250605
1076,300371,20250606
1077,300373,20250605
1078,300376,20250603
1079,300379,20250603
1080,300385,20250604
1081,300393,20250605
1082,300395,20250603
1083,300397,20250603
1084,300398,20250604
1085,300398,20250605
1086,300398,20250606
1087,300400,20250605
1088,300407,20250604
1089,300408,20250605
1090,300411,20250604
1091,300413,20250604
1092,300418,20250605
1093,300423,20250604
1094,300423,20250605
1095,300424,20250603
1096,300432,20250605
1097,300441,20250606
1098,300442,20250604
1099,300444,20250606
1100,300449,20250606
1101,300451,20250605
1102,300452,20250605
1103,300454,20250603
1104,300454,20250604
1105,300454,20250605
1106,300457,20250605
1107,300458,20250603
1108,300458,20250604
1109,300458,20250605
1110,300459,20250603
1111,300459,20250605
1112,300461,20250603
1113,300461,20250606
1114,300463,20250604
1115,300463,20250605
1116,300466,20250604
1117,300467,20250603
1118,300468,20250604
1119,300468,20250606
1120,300469,20250606
1121,300470,20250606
1122,300472,20250604
1123,300472,20250605
1124,300473,20250604
1125,300475,20250605
1126,300475,20250606
1127,300477,20250606
1128,300480,20250605
1129,300483,20250605
1130,300484,20250605
1131,300484,20250606
1132,300488,20250603
1133,300488,20250606
1134,300492,20250605
1135,300492,20250606
1136,300493,20250606
1137,300494,20250603
1138,300496,20250603
1139,300498,20250603
1140,300498,20250604
1141,300498,20250605
1142,300498,20250606
1143,300501,20250603
1144,300502,20250606
1145,300503,20250605
1146,300503,20250606
1147,300504,20250605
1148,300506,20250603
1149,300509,20250604
1150,300512,20250606
1151,300514,20250605
1152,300514,20250606
1153,300516,20250603
1154,300520,20250604
1155,300531,20250603
1156,300536,20250605
1157,300539,20250606
1158,300540,20250605
1159,300540,20250606
1160,300545,20250606
1161,300548,20250606
1162,300550,20250605
1163,300553,20250604
1164,300555,20250604
1165,300557,20250606
1166,300560,20250603
1167,300561,20250603
1168,300561,20250604
1169,300562,20250603
1170,300562,20250606
1171,300563,20250606
1172,300567,20250606
1173,300568,20250604
1174,300569,20250604
1175,300570,20250603
1176,300576,20250605
1177,300578,20250603
1178,300579,20250604
1179,300579,20250605
1180,300582,20250603
1181,300590,20250604
1182,300592,20250603
1183,300594,20250604
1184,300599,20250606
1185,300600,20250606
1186,300602,20250603
1187,300602,20250605
1188,300604,20250605
1189,300605,20250604
1190,300606,20250604
1191,300608,20250604
1192,300610,20250603
1193,300610,20250604
1194,300613,20250604
1195,300616,20250606
1196,300617,20250604
1197,300618,20250603
1198,300620,20250604
1199,300621,20250606
1200,300622,20250603
1201,300622,20250604
1202,300622,20250606
1203,300624,20250604
1204,300627,20250604
1205,300632,20250604
1206,300636,20250605
1207,300641,20250606
1208,300642,20250603
1209,300642,20250605
1210,300644,20250604
1211,300651,20250604
1212,300651,20250606
1213,300655,20250603
1214,300655,20250606
1215,300661,20250605
1216,300661,20250606
1217,300662,20250606
1218,300663,20250605
1219,300672,20250606
1220,300673,20250603
1221,300674,20250603
1222,300677,20250603
1223,300677,20250606
1224,300678,20250605
1225,300679,20250605
1226,300680,20250603
1227,300681,20250603
1228,300681,20250605
1229,300684,20250603
1230,300687,20250604
1231,300688,20250604
1232,300691,20250604
1233,300692,20250606
1234,300697,20250604
1235,300701,20250603
1236,300705,20250603
1237,300706,20250606
1238,300707,20250606
1239,300709,20250606
1240,300712,20250605
1241,300719,20250606
1242,300723,20250605
1243,300726,20250606
1244,300727,20250603
1245,300727,20250606
1246,300729,20250604
1247,300731,20250604
1248,300732,20250605
1249,300737,20250603
1250,300738,20250603
1251,300739,20250603
1252,300739,20250604
1253,300740,20250604
1254,300743,20250603
1255,300748,20250604
1256,300749,20250605
1257,300750,20250604
1258,300750,20250605
1259,300751,20250605
1260,300752,20250603
1261,300756,20250604
1262,300759,20250603
1263,300759,20250604
1264,300760,20250606
1265,300761,20250606
1266,300765,20250605
1267,300767,20250604
1268,300770,20250603
1269,300770,20250606
1270,300772,20250605
1271,300772,20250606
1272,300776,20250603
1273,300776,20250604
1274,300776,20250605
1275,300778,20250603
1276,300779,20250603
1277,300780,20250605
1278,300780,20250606
1279,300781,20250603
1280,300781,20250605
1281,300782,20250603
1282,300782,20250606
1283,300784,20250604
1284,300786,20250603
1285,300793,20250606
1286,300795,20250603
1287,300796,20250603
1288,300796,20250605
1289,300798,20250605
1290,300802,20250604
1291,300803,20250606
1292,300804,20250604
1293,300805,20250603
1294,300813,20250604
1295,300815,20250605
1296,300815,20250606
1297,300816,20250605
1298,300820,20250604
1299,300823,20250604
1300,300823,20250605
1301,300825,20250605
1302,300828,20250603
1303,300829,20250604
1304,300829,20250606
1305,300830,20250606
1306,300832,20250606
1307,300833,20250604
1308,300838,20250604
1309,300838,20250606
1310,300840,20250606
1311,300843,20250605
1312,300843,20250606
1313,300848,20250605
1314,300850,20250606
1315,300852,20250604
1316,300853,20250604
1317,300856,20250606
1318,300857,20250605
1319,300861,20250605
1320,300862,20250604
1321,300862,20250605
1322,300863,20250603
1323,300865,20250605
1324,300866,20250604
1325,300868,20250605
1326,300869,20250604
1327,300870,20250606
1328,300871,20250604
1329,300876,20250605
1330,300877,20250604
1331,300877,20250605
1332,300880,20250604
1333,300881,20250605
1334,300882,20250605
1335,300883,20250604
1336,300891,20250604
1337,300892,20250605
1338,300897,20250605
1339,300898,20250605
1340,300898,20250606
1341,300901,20250604
1342,300903,20250605
1343,300904,20250604
1344,300905,20250603
1345,300907,20250605
1346,300909,20250606
1347,300910,20250605
1348,300912,20250605
1349,300915,20250604
1350,300918,20250603
1351,300918,20250605
1352,300919,20250604
1353,300919,20250605
1354,300920,20250604
1355,300921,20250606
1356,300925,20250605
1357,300925,20250606
1358,300926,20250606
1359,300929,20250603
1360,300929,20250606
1361,300931,20250606
1362,300937,20250606
1363,300939,20250606
1364,300941,20250603
1365,300942,20250606
1366,300943,20250605
1367,300943,20250606
1368,300945,20250605
1369,300946,20250605
1370,300947,20250604
1371,300948,20250603
1372,300948,20250605
1373,300951,20250603
1374,300952,20250605
1375,300952,20250606
1376,300953,20250603
1377,300953,20250604
1378,300956,20250605
1379,300958,20250605
1380,300959,20250605
1381,300959,20250606
1382,300962,20250603
1383,300964,20250604
1384,300964,20250606
1385,300966,20250603
1386,300967,20250603
1387,300967,20250606
1388,300968,20250605
1389,300969,20250603
1390,300969,20250605
1391,300972,20250603
1392,300972,20250605
1393,300975,20250604
1394,300976,20250603
1395,300977,20250606
1396,300979,20250604
1397,300984,20250605
1398,300985,20250604
1399,300986,20250606
1400,300988,20250605
1401,300989,20250604
1402,300990,20250605
1403,300991,20250605
1404,300997,20250605
1405,300998,20250606
1406,301001,20250604
1407,301002,20250604
1408,301003,20250606
1409,301004,20250604
1410,301006,20250605
1411,301008,20250603
1412,301008,20250604
1413,301008,20250605
1414,301008,20250606
1415,301009,20250603
1416,301012,20250603
1417,301012,20250604
1418,301013,20250605
1419,301013,20250606
1420,301015,20250603
1421,301017,20250605
1422,301022,20250603
1423,301026,20250605
1424,301028,20250606
1425,301030,20250604
1426,301031,20250604
1427,301033,20250606
1428,301035,20250603
1429,301039,20250603
1430,301042,20250605
1431,301043,20250605
1432,301043,20250606
1433,301046,20250603
1434,301053,20250604
1435,301057,20250606
1436,301058,20250605
1437,301059,20250606
1438,301065,20250606
1439,301067,20250605
1440,301068,20250603
1441,301071,20250604
1442,301072,20250605
1443,301073,20250606
1444,301075,20250603
1445,301076,20250603
1446,301078,20250603
1447,301080,20250604
1448,301083,20250603
1449,301085,20250606
1450,301086,20250603
1451,301090,20250604
1452,301097,20250605
1453,301098,20250603
1454,301099,20250603
1455,301102,20250605
1456,301109,20250603
1457,301109,20250604
1458,301109,20250606
1459,301120,20250606
1460,301122,20250603
1461,301125,20250604
1462,301127,20250605
1463,301128,20250606
1464,301130,20250604
1465,301131,20250604
1466,301131,20250606
1467,301133,20250604
1468,301135,20250603
1469,301148,20250603
1470,301149,20250604
1471,301150,20250603
1472,301150,20250605
1473,301152,20250606
1474,301155,20250604
1475,301156,20250604
1476,301160,20250603
1477,301162,20250606
1478,301166,20250603
1479,301166,20250605
1480,301167,20250605
1481,301168,20250604
1482,301170,20250605
1483,301177,20250606
1484,301179,20250605
1485,301182,20250605
1486,301183,20250605
1487,301185,20250606
1488,301186,20250604
1489,301188,20250603
1490,301188,20250606
1491,301191,20250603
1492,301191,20250606
1493,301192,20250606
1494,301193,20250605
1495,301198,20250605
1496,301198,20250606
1497,301199,20250603
1498,301199,20250605
1499,301200,20250603
1500,301201,20250605
1501,301205,20250603
1502,301206,20250603
1503,301206,20250604
1504,301211,20250605
1505,301212,20250605
1506,301213,20250606
1507,301217,20250604
1508,301220,20250605
1509,301223,20250603
1510,301228,20250603
1511,301229,20250603
1512,301229,20250604
1513,301229,20250605
1514,301230,20250606
1515,301231,20250603
1516,301231,20250604
1517,301231,20250605
1518,301233,20250603
1519,301233,20250605
1520,301235,20250603
1521,301235,20250604
1522,301235,20250605
