uuid,stkcd,date,clpr,clpr_next,label
394,547,20250530,7.38,7.41,up
395,548,20250508,5.16,5.13,down
396,548,20250520,5.27,5.39,up
397,548,20250527,5.23,5.22,down
398,550,20250507,19.48,19.61,up
399,550,20250516,20.46,20.09,down
400,550,20250530,21.48,20.76,down
401,551,20250509,12.37,12.4,up
402,551,20250524,12.23,12.36,up
403,551,20250529,12.6,12.36,down
404,551,20250530,12.36,12.3,down
405,552,20250508,2.41,2.41,up
406,552,20250521,2.45,2.42,down
407,552,20250523,2.38,2.39,up
408,553,20250528,6.91,6.92,up
409,554,20250514,6.33,6.27,down
410,554,20250516,6.3,6.38,up
411,554,20250522,6.25,6.2,down
412,554,20250523,6.2,6.27,up
413,554,20250528,6.28,6.29,up
414,555,20250510,11.22,11.37,up
415,555,20250514,11.31,10.99,down
416,555,20250527,11.07,10.96,down
417,557,20250521,5.3,5.25,down
418,558,20250513,3.9,3.9,up
419,558,20250517,4.13,4.11,down
420,558,20250529,3.96,3.91,down
421,559,20250508,7.67,8.44,up
422,559,20250509,8.44,9.28,up
423,559,20250512,9.28,9.74,up
424,559,20250513,9.74,9.0,down
425,559,20250521,9.08,8.42,down
426,559,20250524,8.26,8.22,down
427,560,20250514,3.23,3.15,down
428,560,20250520,3.19,3.15,down
429,561,20250508,8.05,8.07,up
430,561,20250510,8.07,8.32,up
431,561,20250513,8.09,7.99,down
432,561,20250526,9.81,10.79,up
433,563,20250513,3.39,3.48,up
434,563,20250527,3.35,3.35,up
435,563,20250528,3.35,3.39,up
436,563,20250530,3.39,3.45,up
437,564,20250510,2.65,2.59,down
438,564,20250513,2.58,2.59,up
439,564,20250517,2.57,2.58,up
440,564,20250530,2.46,2.44,down
441,565,20250506,8.31,9.14,up
442,565,20250515,12.74,14.01,up
443,565,20250519,13.07,11.76,down
444,565,20250521,11.1,10.62,down
445,565,20250522,10.62,10.38,down
446,566,20250508,5.3,5.26,down
447,566,20250510,5.26,5.14,down
448,566,20250513,5.0,4.94,down
449,566,20250516,5.65,5.67,up
450,566,20250523,5.86,5.4,down
451,567,20250506,5.72,5.65,down
452,567,20250508,5.71,5.59,down
453,567,20250520,5.7,5.67,down
454,568,20250513,126.0,130.14,up
455,568,20250514,130.14,128.29,down
456,568,20250529,119.09,116.92,down
457,570,20250509,5.55,5.56,up
458,570,20250514,5.56,5.56,up
459,570,20250527,5.63,5.68,up
460,571,20250507,4.51,4.6,up
461,571,20250509,4.45,4.65,up
462,571,20250516,4.75,4.66,down
463,571,20250527,4.5,4.54,up
464,572,20250506,3.85,3.87,up
465,572,20250515,3.79,3.98,up
466,573,20250521,4.95,4.76,down
467,576,20250507,7.58,7.88,up
468,581,20250506,19.96,20.07,up
469,581,20250510,19.79,20.12,up
470,581,20250514,20.95,20.79,down
471,581,20250516,21.13,20.41,down
472,581,20250521,20.72,20.33,down
473,581,20250529,20.06,19.92,down
474,582,20250507,8.67,8.64,down
475,582,20250509,8.52,8.51,down
476,582,20250513,8.97,9.19,up
477,582,20250516,8.74,9.02,up
478,582,20250520,8.77,9.17,up
479,582,20250521,9.17,9.32,up
480,582,20250527,8.84,8.56,down
481,582,20250530,8.66,8.67,up
482,589,20250508,4.62,4.6,down
483,589,20250509,4.6,4.63,up
484,589,20250512,4.63,4.59,down
485,589,20250514,4.6,4.56,down
486,589,20250522,4.53,4.5,down
487,589,20250530,4.53,4.52,down
488,590,20250527,9.94,9.6,down
489,591,20250506,4.35,4.36,up
490,591,20250507,4.36,4.43,up
491,591,20250509,4.4,4.41,up
492,591,20250510,4.4,4.41,up
493,591,20250516,4.38,4.4,up
494,591,20250520,4.42,4.41,down
495,591,20250521,4.41,4.36,down
496,591,20250527,4.32,4.32,up
497,591,20250529,4.36,4.34,down
498,592,20250507,3.13,3.08,down
499,593,20250510,5.59,5.59,up
500,593,20250514,5.64,5.6,down
501,593,20250521,5.7,5.64,down
502,593,20250528,5.68,5.81,up
503,595,20250507,4.04,4.19,up
504,595,20250510,4.15,4.31,up
505,595,20250515,4.38,4.29,down
506,595,20250517,4.29,4.5,up
507,595,20250522,4.96,4.78,down
508,596,20250530,150.55,147.93,down
509,598,20250510,7.22,7.18,down
510,599,20250507,4.62,4.76,up
511,600,20250508,6.72,6.68,down
512,600,20250521,6.79,6.62,down
513,600,20250527,7.09,7.0,down
514,601,20250510,6.08,5.99,down
515,601,20250521,5.6,5.24,down
516,603,20250510,13.42,13.4,down
517,603,20250521,13.45,13.42,down
518,603,20250529,13.25,13.13,down
519,605,20250514,7.58,7.55,down
520,605,20250516,7.58,8.34,up
521,605,20250522,8.13,7.8,down
522,607,20250507,3.79,3.86,up
523,607,20250513,3.81,3.82,up
524,607,20250520,3.92,3.87,down
525,608,20250510,1.65,1.69,up
526,608,20250513,1.64,1.67,up
527,609,20250508,2.52,2.48,down
528,609,20250514,2.73,2.72,down
529,609,20250520,3.09,3.24,up
530,609,20250521,3.24,3.08,down
531,610,20250510,12.86,12.86,up
532,610,20250514,13.02,12.95,down
533,612,20250515,7.27,7.2,down
534,612,20250520,8.18,7.8,down
535,612,20250522,7.6,7.56,down
536,615,20250515,3.27,3.29,up
537,615,20250517,3.29,3.31,up
538,615,20250521,3.3,3.17,down
539,615,20250528,3.11,3.12,up
540,617,20250516,6.95,6.96,up
541,619,20250507,5.85,5.89,up
542,619,20250515,5.97,5.97,up
543,620,20250510,1.68,1.7,up
544,620,20250520,1.75,1.74,down
545,622,20250506,1.78,0.19,down
546,622,20250507,1.78,0.19,down
547,622,20250508,1.78,0.19,down
548,622,20250509,1.78,0.19,down
549,622,20250513,1.78,0.19,down
550,622,20250514,1.78,0.19,down
551,622,20250522,1.78,0.19,down
552,622,20250528,1.78,0.19,down
553,623,20250520,16.51,16.5,down
554,625,20250506,12.39,12.41,up
555,625,20250507,12.41,12.44,up
556,625,20250528,12.3,12.53,up
557,626,20250506,6.05,6.02,down
558,628,20250507,47.7,48.09,up
559,628,20250510,46.9,47.1,up
560,629,20250507,2.65,2.66,up
561,629,20250508,2.66,2.63,down
562,629,20250517,2.61,2.63,up
563,630,20250507,3.2,3.2,up
564,630,20250510,3.17,3.23,up
565,630,20250522,3.18,3.15,down
566,630,20250523,3.15,3.18,up
567,631,20250507,2.84,2.85,up
568,631,20250513,2.86,2.9,up
569,632,20250509,3.66,3.76,up
570,632,20250520,3.73,3.65,down
571,632,20250521,3.65,3.58,down
572,632,20250523,3.5,3.59,up
573,633,20250509,5.39,5.36,down
574,633,20250516,5.93,6.09,up
575,633,20250523,6.59,6.62,up
576,635,20250521,9.06,8.69,down
577,635,20250522,8.69,8.51,down
578,636,20250522,13.32,13.22,down
579,637,20250516,3.99,3.83,down
580,637,20250521,3.86,3.9,up
581,638,20250506,3.08,3.23,up
582,638,20250516,4.05,4.25,up
583,638,20250521,4.31,4.19,down
584,638,20250529,4.68,4.8,up
585,639,20250506,2.83,2.86,up
586,639,20250514,2.88,3.17,up
587,639,20250517,3.23,3.27,up
588,650,20250513,5.44,5.44,up
589,650,20250527,5.49,5.45,down
590,651,20250506,45.47,46.1,up
591,651,20250509,47.0,46.9,down
592,652,20250508,3.8,3.77,down
593,652,20250510,3.77,3.78,up
594,652,20250516,3.81,3.87,up
595,652,20250517,3.81,3.87,up
596,652,20250522,3.81,3.76,down
597,652,20250524,3.76,3.79,up
598,652,20250529,4.03,3.89,down
599,652,20250530,3.89,3.97,up
600,655,20250507,6.75,6.77,up
601,655,20250513,6.8,6.81,up
602,655,20250516,6.8,6.82,up
603,655,20250529,6.93,6.93,up
604,656,20250512,1.56,1.64,up
605,656,20250516,1.55,1.54,down
606,656,20250522,1.53,1.55,up
607,656,20250527,1.54,1.5,down
608,657,20250507,9.94,10.06,up
609,657,20250513,10.37,10.64,up
610,657,20250517,11.53,11.16,down
611,657,20250522,10.68,10.68,up
612,659,20250509,3.34,3.28,down
613,659,20250513,3.29,3.28,down
614,659,20250520,3.25,3.21,down
615,659,20250529,3.24,3.23,down
616,661,20250506,93.7,93.57,down
617,661,20250510,95.8,94.51,down
618,661,20250513,98.13,97.66,down
619,661,20250521,104.89,103.37,down
620,661,20250529,104.57,104.56,down
621,661,20250530,104.56,103.35,down
622,663,20250510,5.8,5.79,down
623,665,20250521,5.11,4.99,down
624,665,20250523,4.8,4.99,up
625,668,20250506,5.12,5.38,up
626,668,20250508,5.65,5.6,down
627,668,20250519,6.7,6.76,up
628,668,20250523,6.77,7.1,up
629,668,20250529,7.63,7.94,up
630,669,20250506,1.95,2.0,up
631,669,20250509,2.01,2.09,up
632,669,20250520,2.04,2.01,down
633,669,20250522,2.11,2.22,up
634,669,20250526,2.33,2.45,up
635,669,20250528,2.39,2.27,down
636,670,20250516,6.68,6.87,up
637,670,20250528,7.02,7.08,up
638,672,20250513,8.56,8.47,down
639,672,20250517,8.41,8.44,up
640,672,20250520,8.55,8.64,up
641,672,20250521,8.64,8.73,up
642,672,20250522,8.73,8.64,down
643,676,20250517,8.2,8.16,down
644,676,20250521,8.18,8.25,up
645,676,20250530,8.26,8.37,up
646,677,20250513,4.95,5.11,up
647,677,20250515,5.26,5.05,down
648,677,20250516,5.05,5.56,up
649,677,20250521,5.65,5.6,down
650,678,20250512,16.82,16.5,down
651,679,20250508,6.46,6.24,down
652,679,20250513,6.42,6.37,down
653,679,20250520,6.37,6.25,down
654,680,20250508,9.1,9.14,up
655,680,20250513,9.21,9.15,down
656,680,20250517,9.0,8.72,down
657,680,20250529,9.02,9.13,up
658,682,20250514,9.68,9.51,down
659,682,20250517,9.55,9.58,up
660,682,20250527,9.25,9.22,down
661,683,20250509,5.14,5.18,up
662,683,20250516,5.16,5.14,down
663,683,20250521,5.12,5.07,down
664,683,20250528,5.01,5.05,up
665,683,20250530,5.03,5.04,up
666,685,20250513,8.64,8.82,up
667,685,20250521,8.64,8.54,down
668,685,20250529,8.52,8.52,up
669,686,20250515,7.46,7.37,down
670,686,20250517,7.37,7.4,up
671,686,20250521,7.41,7.33,down
672,686,20250523,7.25,7.25,up
673,688,20250522,12.17,12.04,down
674,690,20250514,4.37,4.35,down
675,690,20250520,4.44,4.42,down
676,690,20250522,4.38,4.33,down
677,691,20250508,3.87,4.05,up
678,691,20250513,4.13,4.34,up
679,691,20250521,5.27,5.01,down
680,691,20250522,5.01,5.26,up
681,691,20250524,5.26,5.29,up
682,691,20250527,5.03,4.78,down
683,691,20250529,4.79,4.76,down
684,692,20250517,3.41,3.5,up
685,695,20250522,13.76,15.14,up
686,695,20250526,15.16,13.64,down
687,697,20250510,7.13,7.02,down
688,697,20250512,7.02,6.78,down
689,697,20250513,6.78,6.83,up
690,700,20250508,7.37,7.29,down
691,700,20250523,7.46,7.53,up
692,701,20250507,5.24,5.26,up
693,701,20250523,5.18,5.25,up
694,701,20250527,5.4,5.43,up
695,702,20250507,6.66,6.7,up
696,702,20250527,7.12,6.82,down
697,703,20250507,6.07,6.04,down
698,703,20250510,6.02,6.03,up
699,703,20250516,6.02,6.03,up
700,703,20250517,6.02,6.03,up
701,705,20250509,8.01,8.0,down
702,705,20250520,8.25,8.21,down
703,707,20250510,6.31,6.33,up
704,707,20250517,6.32,6.36,up
705,707,20250529,6.29,6.25,down
706,708,20250507,12.04,11.94,down
707,708,20250513,11.48,11.53,up
708,708,20250517,11.23,11.27,up
709,709,20250516,2.21,2.24,up
710,709,20250521,2.22,2.19,down
711,709,20250522,2.19,2.18,down
712,709,20250526,2.19,2.2,up
713,710,20250517,14.19,13.4,down
714,710,20250521,12.87,12.57,down
715,710,20250522,12.57,13.83,up
716,711,20250508,1.79,1.81,up
717,711,20250513,1.85,1.85,up
718,711,20250516,1.85,1.87,up
719,711,20250522,1.83,1.82,down
720,711,20250531,1.82,1.73,down
721,712,20250506,11.58,12.13,up
722,712,20250520,12.75,12.64,down
723,713,20250513,7.13,7.15,up
724,715,20250506,7.17,7.19,up
725,715,20250515,7.35,7.37,up
726,715,20250522,7.19,7.18,down
727,715,20250527,7.33,7.26,down
728,716,20250514,6.41,6.53,up
729,716,20250530,6.55,6.62,up
730,717,20250508,2.61,2.55,down
731,717,20250516,2.57,2.64,up
732,718,20250522,2.15,2.11,down
733,718,20250527,2.12,2.12,up
734,719,20250517,12.35,12.5,up
735,720,20250513,3.16,3.16,up
736,720,20250521,3.44,3.42,down
737,721,20250510,8.96,8.93,down
738,721,20250514,9.03,9.04,up
739,721,20250516,8.95,9.0,up
740,722,20250506,11.4,11.42,up
741,722,20250509,11.38,11.23,down
742,722,20250510,11.38,11.23,down
743,722,20250520,14.08,15.49,up
744,722,20250522,14.6,13.14,down
745,722,20250530,13.03,13.3,up
746,723,20250506,4.3,4.39,up
747,723,20250508,4.36,4.27,down
748,723,20250509,4.27,4.27,up
749,723,20250515,4.24,4.24,up
750,723,20250521,4.37,4.26,down
751,723,20250522,4.26,4.18,down
752,723,20250523,4.18,4.21,up
753,723,20250530,4.19,4.22,up
754,725,20250520,3.9,3.88,down
755,726,20250508,6.24,6.34,up
756,726,20250513,6.4,6.36,down
757,726,20250524,6.29,6.29,up
758,728,20250507,7.58,7.58,up
759,728,20250516,7.64,7.63,down
760,728,20250520,7.61,7.62,up
761,728,20250522,7.56,7.53,down
762,728,20250527,7.5,7.46,down
763,731,20250509,6.86,6.88,up
764,731,20250513,6.88,6.88,up
765,731,20250521,6.95,6.85,down
766,731,20250527,6.91,6.85,down
767,733,20250510,50.07,51.28,up
768,733,20250515,48.86,48.67,down
769,735,20250507,6.05,6.07,up
770,735,20250510,6.01,5.99,down
771,735,20250520,5.96,5.9,down
772,736,20250506,4.11,4.15,up
773,736,20250507,4.15,4.16,up
774,736,20250508,4.16,4.18,up
